pinyin_name	chinese_name	composition	pinyin_composition	indication	use_method	references
JIA WEI CAN XIA TANG	加味参夏汤	人参1两半，半夏1两半，肉桂1两，甘草（炙）5钱，乳香3钱。	REN SHEN,BAN XIA,ROU GUI,GAN CAO,RU XIANG,	七情相干，眩晕欲倒；又治七情之气郁于心腹，不可忍，脉沉迟者。	每服5钱，加生姜5片，水煎服。	《赤水玄珠》卷十六。
HUANG QI WAN	黄耆丸	黄耆1两（锉），木香1两，漏芦1两，枳壳1两（麸炒微黄，去瓤），玄参1两，犀角屑1两，桔梗1两（去芦头），牛蒡子2两（微炒），川大黄1两（锉碎，微炒）。	HUANG QI,MU XIANG,LOU LU,ZHI KE,XUAN CAN,XI JIAO XIE,JIE GENG,NIU BANG ZI,CHUAN DA HUANG,	瘰疬结肿生脓。	每服20丸，空心及晚食前以粥饮送下。	《圣惠》卷六十六。
HUAN CHANG TANG	缓肠汤	人参（去芦）1两，白术1两，当归（去芦并土）1两，白茯苓1两，厚朴（去粗皮，生姜制）1两，白芍药1两，炙甘草1两，阿胶（蛤粉炒，去粉）2两，黄耆（蜜炙）2两，陈粳米（炒）2两，御米壳3两（蜜炙）。	REN SHEN,BAI ZHU,DANG GUI,BAI FU LING,HOU PO,BAI SHAO YAO,ZHI GAN CAO,A XIAO,HUANG QI,CHEN GENG MI,YU MI KE,	蛊利。下血如赤水豆汁，腹痛。	每服2钱，水1盏，加生姜3片，枣1个，同煎至5分，去滓，空腹食前温服，1日3次。	《卫生总微》卷十一。
JU PI ZHU RU TANG	橘皮竹茹汤	橘皮2两，竹茹1升，甘草2两（炙），人参半两，半夏1两（汤洗）。	JU PI,ZHU RU,GAN CAO,REN SHEN,BAN XIA,	哕逆，呃逆，妊娠恶阻。	每服5钱，加生姜6片，大枣1枚，以水2大盏，煎至1盏，去滓温服，日3次。	《活人书》卷十六。
ZHEN ZHU SAN	真珠散	真珠末1分，青葙子1分，牛黄（细研）半两，黄连（去须）半两，甘草（炙微赤，锉）半两，蔓菁子半两。	ZHEN ZHU MO,QING XIANG ZI,NIU HUANG,HUANG LIAN,GAN CAO,MAN JING ZI,	小儿肝脏风热，上攻于眼目，赤痛。	每服半钱，以熟水调下。	《圣惠》卷八十九
JI JI JIE DU DAN	既济解毒丹	净黄连5分，黄柏（去粗皮）2钱半，黄芩（净者）2钱半，大黄2钱半，肉桂（去粗皮）2钱，枳壳（锉片，麸炒，清油润透1宿，焙干）2钱，白茯苓（去粗皮）2钱，甘草（生用）7钱。	JING HUANG LIAN,HUANG BAI,HUANG QIN,DA HUANG,ROU GUI,ZHI KE,BAI FU LING,GAN CAO,	小儿中热，睡中咬牙，梦语，惊悸不宁；或吐血、溺血，口渴引饮，手足动摇。	每服30-50丸，用麦门冬熟水送下，不拘时候；吐血、溺血，栀子仁煎汤送下；儿小者，薄荷汤磨化投服。	《活幼心书》卷下。
ZI YIN BU SHEN DI HUANG WAN	滋阴补肾地黄丸	熟地1两，生地1两5钱，柴胡8钱，天冬3钱，炙甘草3钱，枳壳3钱，地骨皮3钱，黄连3钱，五味3钱，人参3钱，归身5钱，黄芩5钱。	SHU DI,SHENG DI,CHAI HU,TIAN DONG,ZHI GAN CAO,ZHI KE,DI GU PI,HUANG LIAN,WU WEI,REN SHEN,GUI SHEN,HUANG QIN,	目病。	清茶送下。	《方症会要》卷四。
CAN BAI HU	参柏糊	沙参1钱半，侧柏叶1钱半。	SHA SHEN,CE BAI XIE,	男妇九窍血如泉涌。	入飞罗面3钱，水调如糊啜取。	《医学入门》卷七。
BAI JI SAN	白及散	白及半两，贝母半两，净黄连半两，轻粉30贴。	BAI JI,BEI MU,JING HUANG LIAN,QING FEN,	瘰疬脓汁不止。	每用1-2钱，清油调擦患处。必先用懈皮散煮水，候温，净洗拭干，方涂药。	《活幼心书》卷下。
JI ZI TANG	鸡子汤	乱发如鸡子1枚（去垢，（口父）咀之），鸡子7枚（去白）。	LUAN FA RU JI ZI,JI ZI,	小儿病食不消，腹满下痢。	以鸡子黄并发煮，鸡子熟，数按之，令汁出，取服。	《普济方》卷三九六引《肘后方》。
LI JI LI YAN SHEN FANG	痢疾立验神方	香附1钱，陈皮1钱，赤芍1钱，栀子（炒黑）1钱，车前子（炒）1钱，川黄连（炒）1钱，连翘5分，木香2分（磨水，待药煎成入内）。	XIANG FU,CHEN PI,CHI SHAO,ZHI ZI,CHE QIAN ZI,CHUAN HUANG LIAN,LIAN QIAO,MU XIANG,	痢疾。	上用水2钟，煎至1钟，温服。	《良朋汇集》卷一。
